NAME,FOLLOWERS,ER,COUNTRY,TOPIC_OF_INFLUENCE,POTENTIAL_REACH,CHANNEL_NAME,TOTAL_SUBSCRIBERS,TOTAL_VIEWS,TOTAL_VIDEOS
Justin Bieber @UCIwFjwMjI0y7PDBVEO9-bkQ,69700000,0,Canada,,20900000,Justin Bieber,75400000,34861207407,249
Super Simple Songs - Kids Songs @UCLsooMJoIpl_7ux2jvdPB-Q,37300000,0,Canada,Travel,11200000,Super Simple Songs - Kids Songs,44300000,56378042007,841
The Weeknd @UC0WP5P-ufpRfjbNrmOWwLBQ,28700000,0.002,Canada,,8600000,The Weeknd,37900000,32011741350,200
WatchMojo.com @UCaWd5_7JhbQBe4dknZhsHJg,24700000,0,Canada,,7400000,WatchMojo.com,25800000,17453640996,29881
Linus Tech Tips @UCXuqSBlHAE6Xw-yeJA0Tunw,14900000,0.004,Canada,,4500000,Linus Tech Tips,16300000,8711800531,7304
AzzyLand @UCzeB_0FNcPIyUSjL_TL5lEw,13400000,0,Canada,,4000000,AzzyLand,13000000,6629077956,1871
Typical Gamer @UC2wKfjlioOCLP4xQMOWNcgg,13000000,0,Canada,,3900000,Typical Gamer,15700000,5382379900,5862
Hacksmith Industries @UCjgpFI5dU-D1-kh9H1muoxQ,13000000,0,Canada,,3900000,Hacksmith Industries,15300000,2910514311,1279
MrSuicideSheep @UC5nc_ZtjKW1htCVZVRxlQAQ,12800000,0,Canada,,3800000,MrSuicideSheep,12800000,7306638456,3741
HZHtube Kids Fun @UCAgx4HcQIYn9lM0rhtIuH9w,12100000,0,Canada,,3600000,HZHtube Kids Fun,12900000,4820439381,1289
"Baby Big Mouth Kids - Sing, Dance, Explore @UCWr4vlkj5xXQ4bSXNeTT2AA",10500000,0,Canada,Music Travel,3200000,"Baby Big Mouth Kids - Sing, Dance, Explore",10200000,141213539,501
SAS-ASMR @UCp4LfMtDfoa29kTlLnqQ5Mg,9400000,0,Canada,,2800000,SAS-ASMR,9370000,3034630298,2557
WatchMojo Español @UClgevvAYKcfuthTWppKT0IQ,8000000,0,Canada,,2400000,WatchMojo Español,8180000,2607088887,7155
MostAmazingTop10 @UCBINYCmwE29fBXCpUI8DgTA,7700000,0,Canada,,2300000,MostAmazingTop10,7760000,2802937976,9177
Simply Nailogical @UCGCVyTWogzQ4D170BLy2Arw,7500000,0,Canada,,2300000,Simply Nailogical,7280000,1841442084,487
Domics @UCn1XB-jvmd9fXMzhiA6IR0w,7400000,0.006,Canada,,2200000,Domics,7210000,1234422489,212
Gloom @UC6IijBsVf2PlWo_uq6P9wQw,7400000,0,Canada,,2200000,Gloom,7860000,3251374237,1202
MadFit @UCpQ34afVgk8cRQBjSJ1xuJQ,7200000,0,Canada,,2200000,MadFit,10500000,1411974484,1225
Shroud @UCoz3Kpu5lv-ALhR4h9bDvcw,6800000,0.001,Canada,Video Gaming,2000000,Shroud,6810000,1237448471,1851
Chris Ramsay @UCrPUg54jUy1T_wII9jgdRbg,6700000,0,Canada,,2000000,Chris Ramsay,7130000,1781414916,1046
Pokimane @UChXKjLEzAB1K7EZQey7Fm1Q,6700000,0,Canada,,2000000,Pokimane,6640000,427970120,283
Nick Eh 30 @UCt9nYeSz90lnOnaVFjxFJzw,6600000,0.005,Canada,,2000000,Nick Eh 30,8600000,1555121235,670
Ayo & Teo @UCB_Mdi3acqKLRR8zKFkqKoA,6400000,0,Canada,,1900000,Ayo & Teo,6470000,1722282695,331
CelineDion @UC_yGU4qz9zAjEWLQxCg9NZQ,6300000,0,Canada,,1900000,Celine Dion,9330000,6064123955,154
Kallmekris @UCiciOsypkXcqSFqSPd-NRVA,6200000,0.036,Canada,,1900000,Kallmekris,12200000,3372347994,586
Matthew Santoro @UCXhSCMRRPyxSoyLSPFxK7VA,6200000,0.002,Canada,,1900000,Matthew Santoro,5950000,1523093037,1519
funnyplox @UCVUdHi-tdW5AKdzMiTPG97Q,6200000,0,Canada,Pets,1800000,funnyplox,6140000,0,0
Jester @UCKIL4dMp2qbWElEEZHK-aug,6100000,0,Canada,,1800000,Jester,6820000,2371393395,868
Chills @UCN64HIrZNqFQYZ2BuyY-4zg,6100000,0,Canada,Celebrity,1800000,Chills,6210000,1210128001,1059
Rehaan Records @UCm9SZAl03Rev9sFwloCdz1g,6000000,0.011,Canada,,1800000,Rehaan Records,7160000,4021095327,158
GamerGirl @UCije75lmV_7fVP7m4dJ7ZoQ,6000000,0.002,Canada,,1800000,GamerGirl,5890000,3417494641,1731
Peter McKinnon @UC3DkFux8Iv-aYnTRWzwaiBA,5800000,0.002,Canada,Photography Food and Drink,1700000,Peter McKinnon,5970000,629519698,747
GunVsGun @UCFFUY0PCOH3CieBjbZd5suw,5700000,0.001,Canada,,1700000,GunVsGun,5600000,2215272895,375
Bajan Canadian @UCuj1Ms9_LCsQPSJ4p8nvOVA,5700000,0,Canada,,1700000,Bajan Canadian,5600000,1834225821,4428
BENOFTHEWEEK @UC_UnVDztkvE1hw064XFTNSQ,5700000,0,Canada,,1700000,BENOFTHEWEEK,8490000,2860486460,417
JustDustin @UCau_n8AK1uk3Ys5bEnRAoqg,5500000,0.004,Canada,,1600000,JustDustin,5750000,1303872144,350
ElectroBOOM @UCJ0-OtVpF0wOKEqT2Z1HEtA,5200000,0.011,Canada,,1600000,ElectroBOOM,8270000,1273070595,345
ExplodingTNT @UC2nZMhZ2qG5-xpqb440WLYg,5100000,0.004,Canada,,1500000,ExplodingTNT,4970000,1500565977,702
Furious Pete @UCspJ-h5Mw9_zeEhJDzMpkkA,5100000,0,Canada,,1500000,Furious Pete,4970000,1066638369,829
JoBlo Movie Clips @UC6LDwTYRfjQwkakw5R95OyA,5000000,0,Canada,,1500000,JoBlo Movie Clips,7380000,4112510897,5490
MDMotivator @UCV60-YzrBdQBKHxvgeu9sIw,4800000,0,Canada,,1400000,MDMotivator,6990000,4722545499,531
Jeremy Ethier @UCERm5yFZ1SptUEU4wZ2vJvw,4700000,0,Canada,,1400000,Jeremy Ethier,7150000,963517481,304
MsMojo @UC3rLoj87ctEHCcS7BuvIzkQ,4700000,0,Canada,,1400000,MsMojo,5590000,3136135065,9376
ENGLISH with James · engVid @UCwA7Aepp7nRUJNa8roQ-6Bw,4600000,0,Canada,,1400000,ENGLISH with James · engVid,4750000,177942082,304
NileRed @UCFhXFikryT4aFcLkLw2LBLA,4600000,0.076,Canada,,1400000,NileRed,9220000,3758867384,380
AntsCanada @UCONd1SNf3_QqjzjCVsURNuA,4500000,0.003,Canada,,1400000,AntsCanada,6550000,804005109,785
Super Simple ABCs @UCp5Nhw2YMCMUemXC1oWTkkA,4500000,0.001,Canada,,1300000,Super Simple ABCs,4890000,4743542686,241
MY BOLLYWOOD BODY @UCU3juAek2IQClkV7eUw-a2w,4400000,0,Canada,,1300000,MY BOLLYWOOD BODY,4320000,357348992,786
RonaldOMG @UCfjLwqL4XSPUDT7hVnViCmw,4400000,0,Canada,,1300000,RonaldOMG,4450000,1913805292,1980
How To Cake It @UCvM1hVcRJmVWDtATYarC0KA,4300000,0,Canada,,1300000,How To Cake It,4220000,597323007,1044
Walk off the Earth @UC9PEibgWOqZ-1I1JdxRmr6g,4300000,0,Canada,,1300000,Walk off the Earth,6960000,2047919265,775
Stromedy @UCZhUolzN9vMdkjWrnT9DQ2A,4300000,0.003,Canada,Celebrity Travel,1300000,Stromedy,12300000,2723225038,1032
Dan Lok @UCs_6DXZROU29pLvgQdCx4Ww,4200000,0,Canada,,1300000,Dan Lok,4890000,310939958,2182
Kurtis Conner @UC7zsxKqd5MicTf4VhS9Y74g,4200000,0.041,Canada,,1200000,Kurtis Conner,5440000,1053346768,243
Tate McRae @UCQh6LB206jF3JxpCDD-fp5Q,4100000,0,Canada,,1200000,Tate McRae,6080000,2345830218,570
English with Emma · engVid @UCVBErcpqaokOf4fI5j73K_w,4100000,0.001,Canada,,1200000,English with Emma · engVid,4980000,246192971,266
Two Super Sisters 2 @UCjah4obLivaa4UZ96hhJNMw,4000000,0,Canada,,1200000,Two Super Sisters 2,3800000,465804,23
Cartooning Club How to Draw @UC-biucJWhM8HwjsQ96uoIUw,3900000,0,Canada,Pets,1200000,Cartooning Club How to Draw,4910000,1306291498,4304
SickickMusic @UCvnwcyWyrzPjEH46LVjx24Q,3900000,0,Canada,,1200000,SickickMusic,4650000,1079621527,270
MAGIC! @UCZ2KbFug6U6DO02xIIu2JAA,3900000,0,Canada,,1200000,MAGIC!,4000000,3356364548,77
English Speeches @UCLyr-hfWVCKHcZjV5fg3jbw,3800000,0,Canada,,1200000,English Speeches,6100000,353150004,407
